Parent Cell	Interaction Type	Daughter Cell	Cell Common Name	Daughter Cell (No common names)	Parent Cell Generation	Node_size	Emb Term	Apoptoses	Emb Term Blast
P0	cc	AB		AB	1	794			
P0	cc	P1'		P1'	1	794			
AB	cc	ABa		ABa	2	629			
AB	cc	ABp		ABp	2	629			
P1'	cc	EMS		EMS	2	629			
P1'	cc	P2'		P2'	2	629			
ABa	cc	ABal		ABal	3	500			
ABa	cc	ABar		ABar	3	500			
ABp	cc	ABpl		ABpl	3	500			
ABp	cc	ABpr		ABpr	3	500			
P2'	cc	C		C	3	500			
EMS	cc	E		E	3	500			
EMS	cc	MS		MS	3	500			
P2'	cc	P3'		P3'	3	500			
ABal	cc	ABala		ABala	4	397			
ABal	cc	ABalp		ABalp	4	397			
ABar	cc	ABara		ABara	4	397			
ABar	cc	ABarp		ABarp	4	397			
ABpl	cc	ABpla		ABpla	4	397			
ABpl	cc	ABplp		ABplp	4	397			
ABpr	cc	ABpra		ABpra	4	397			
ABpr	cc	ABprp		ABprp	4	397			
C	cc	Ca		Ca	4	397			
C	cc	Cp		Cp	4	397			
P3'	cc	D		D	4	397			
E	cc	Ea		Ea	4	397			
E	cc	Ep		Ep	4	397			
MS	cc	MSa		MSa	4	397			
MS	cc	MSp		MSp	4	397			
P3'	cc	P4'		P4'	4	397			
ABala	cc	ABalaa		ABalaa	5	315			
ABala	cc	ABalap		ABalap	5	315			
ABalp	cc	ABalpa		ABalpa	5	315			
ABalp	cc	ABalpp		ABalpp	5	315			
ABara	cc	ABaraa		ABaraa	5	315			
ABara	cc	ABarap		ABarap	5	315			
ABarp	cc	ABarpa		ABarpa	5	315			
ABarp	cc	ABarpp		ABarpp	5	315			
ABpla	cc	ABplaa		ABplaa	5	315			
ABpla	cc	ABplap		ABplap	5	315			
ABplp	cc	ABplpa		ABplpa	5	315			
ABplp	cc	ABplpp		ABplpp	5	315			
ABpra	cc	ABpraa		ABpraa	5	315			
ABpra	cc	ABprap		ABprap	5	315			
ABprp	cc	ABprpa		ABprpa	5	315			
ABprp	cc	ABprpp		ABprpp	5	315			
Ca	cc	Caa		Caa	5	315			
Ca	cc	Cap		Cap	5	315			
Cp	cc	Cpa		Cpa	5	315			
Cp	cc	Cpp		Cpp	5	315			
D	cc	Da		Da	5	315			
D	cc	Dp		Dp	5	315			
Ea	cc	Eal		Eal	5	315			
Ea	cc	Ear		Ear	5	315			
Ep	cc	Epl		Epl	5	315			
Ep	cc	Epr		Epr	5	315			
MSa	cc	MSaa		MSaa	5	315			
MSa	cc	MSap		MSap	5	315			
MSp	cc	MSpa		MSpa	5	315			
MSp	cc	MSpp		MSpp	5	315			
P4'	cc	P4a (Z2)	Z2	P4a	5	315	T		B
P4'	cc	P4p (Z3)	Z3	P4p	5	315	T		B
ABalaa	cc	ABalaaa		ABalaaa	6	250			
ABalaa	cc	ABalaap		ABalaap	6	250			
ABalap	cc	ABalapa		ABalapa	6	250			
ABalap	cc	ABalapp		ABalapp	6	250			
ABalpa	cc	ABalpaa		ABalpaa	6	250			
ABalpa	cc	ABalpap		ABalpap	6	250			
ABalpp	cc	ABalppa		ABalppa	6	250			
ABalpp	cc	ABalppp		ABalppp	6	250			
ABaraa	cc	ABaraaa		ABaraaa	6	250			
ABaraa	cc	ABaraap		ABaraap	6	250			
ABarap	cc	ABarapa		ABarapa	6	250			
ABarap	cc	ABarapp		ABarapp	6	250			
ABarpa	cc	ABarpaa		ABarpaa	6	250			
ABarpa	cc	ABarpap		ABarpap	6	250			
ABarpp	cc	ABarppa		ABarppa	6	250			
ABarpp	cc	ABarppp		ABarppp	6	250			
ABplaa	cc	ABplaaa		ABplaaa	6	250			
ABplaa	cc	ABplaap		ABplaap	6	250			
ABplap	cc	ABplapa		ABplapa	6	250			
ABplap	cc	ABplapp		ABplapp	6	250			
ABplpa	cc	ABplpaa		ABplpaa	6	250			
ABplpa	cc	ABplpap		ABplpap	6	250			
ABplpp	cc	ABplppa		ABplppa	6	250			
ABplpp	cc	ABplppp		ABplppp	6	250			
ABpraa	cc	ABpraaa		ABpraaa	6	250			
ABpraa	cc	ABpraap		ABpraap	6	250			
ABprap	cc	ABprapa		ABprapa	6	250			
ABprap	cc	ABprapp		ABprapp	6	250			
ABprpa	cc	ABprpaa		ABprpaa	6	250			
ABprpa	cc	ABprpap		ABprpap	6	250			
ABprpp	cc	ABprppa		ABprppa	6	250			
ABprpp	cc	ABprppp		ABprppp	6	250			
Caa	cc	Caaa		Caaa	6	250			
Caa	cc	Caap		Caap	6	250			
Cap	cc	Capa		Capa	6	250			
Cap	cc	Capp		Capp	6	250			
Cpa	cc	Cpaa		Cpaa	6	250			
Cpa	cc	Cpap		Cpap	6	250			
Cpp	cc	Cppa		Cppa	6	250			
Cpp	cc	Cppp		Cppp	6	250			
Da	cc	Daa		Daa	6	250			
Da	cc	Dap		Dap	6	250			
Dp	cc	Dpa		Dpa	6	250			
Dp	cc	Dpp		Dpp	6	250			
Eal	cc	Eala		Eala	6	250			
Eal	cc	Ealp		Ealp	6	250			
Ear	cc	Eara		Eara	6	250			
Ear	cc	Earp		Earp	6	250			
Epl	cc	Epla		Epla	6	250			
Epl	cc	Eplp		Eplp	6	250			
Epr	cc	Epra		Epra	6	250			
Epr	cc	Eprp		Eprp	6	250			
MSaa	cc	MSaaa		MSaaa	6	250			
MSaa	cc	MSaap		MSaap	6	250			
MSap	cc	MSapa		MSapa	6	250			
MSap	cc	MSapp		MSapp	6	250			
MSpa	cc	MSpaa		MSpaa	6	250			
MSpa	cc	MSpap		MSpap	6	250			
MSpp	cc	MSppa		MSppa	6	250			
MSpp	cc	MSppp		MSppp	6	250			
ABalaaa	cc	ABalaaaa		ABalaaaa	7	198			
ABalaaa	cc	ABalaaap		ABalaaap	7	198			
ABalaap	cc	ABalaapa		ABalaapa	7	198			
ABalaap	cc	ABalaapp		ABalaapp	7	198			
ABalapa	cc	ABalapaa		ABalapaa	7	198			
ABalapa	cc	ABalapap		ABalapap	7	198			
ABalapp	cc	ABalappa		ABalappa	7	198			
ABalapp	cc	ABalappp		ABalappp	7	198			
ABalpaa	cc	ABalpaaa		ABalpaaa	7	198			
ABalpaa	cc	ABalpaap		ABalpaap	7	198			
ABalpap	cc	ABalpapa		ABalpapa	7	198			
ABalpap	cc	ABalpapp		ABalpapp	7	198			
ABalppa	cc	ABalppaa		ABalppaa	7	198			
ABalppa	cc	ABalppap		ABalppap	7	198			
ABalppp	cc	ABalpppa		ABalpppa	7	198			
ABalppp	cc	ABalpppp		ABalpppp	7	198			
ABaraaa	cc	ABaraaaa		ABaraaaa	7	198			
ABaraaa	cc	ABaraaap		ABaraaap	7	198			
ABaraap	cc	ABaraapa		ABaraapa	7	198			
ABaraap	cc	ABaraapp		ABaraapp	7	198			
ABarapa	cc	ABarapaa		ABarapaa	7	198			
ABarapa	cc	ABarapap		ABarapap	7	198			
ABarapp	cc	ABarappa		ABarappa	7	198			
ABarapp	cc	ABarappp		ABarappp	7	198			
ABarpaa	cc	ABarpaaa		ABarpaaa	7	198			
ABarpaa	cc	ABarpaap		ABarpaap	7	198			
ABarpap	cc	ABarpapa		ABarpapa	7	198			
ABarpap	cc	ABarpapp		ABarpapp	7	198			
ABarppa	cc	ABarppaa		ABarppaa	7	198			
ABarppa	cc	ABarppap		ABarppap	7	198			
ABarppp	cc	ABarpppa		ABarpppa	7	198			
ABarppp	cc	ABarpppp		ABarpppp	7	198			
ABplaaa	cc	ABplaaaa		ABplaaaa	7	198			
ABplaaa	cc	ABplaaap		ABplaaap	7	198			
ABplaap	cc	ABplaapa		ABplaapa	7	198			
ABplaap	cc	ABplaapp		ABplaapp	7	198			
ABplapa	cc	ABplapaa		ABplapaa	7	198			
ABplapa	cc	ABplapap		ABplapap	7	198			
ABplapp	cc	ABplappa		ABplappa	7	198			
ABplapp	cc	ABplappp		ABplappp	7	198			
ABplpaa	cc	ABplpaaa		ABplpaaa	7	198			
ABplpaa	cc	ABplpaap		ABplpaap	7	198			
ABplpap	cc	ABplpapa		ABplpapa	7	198			
ABplpap	cc	ABplpapp		ABplpapp	7	198			
ABplppa	cc	ABplppaa		ABplppaa	7	198			
ABplppa	cc	ABplppap		ABplppap	7	198			
ABplppp	cc	ABplpppa		ABplpppa	7	198			
ABplppp	cc	ABplpppp		ABplpppp	7	198			
ABpraaa	cc	ABpraaaa		ABpraaaa	7	198			
ABpraaa	cc	ABpraaap		ABpraaap	7	198			
ABpraap	cc	ABpraapa		ABpraapa	7	198			
ABpraap	cc	ABpraapp		ABpraapp	7	198			
ABprapa	cc	ABprapaa		ABprapaa	7	198			
ABprapa	cc	ABprapap		ABprapap	7	198			
ABprapp	cc	ABprappa		ABprappa	7	198			
ABprapp	cc	ABprappp		ABprappp	7	198			
ABprpaa	cc	ABprpaaa		ABprpaaa	7	198			
ABprpaa	cc	ABprpaap		ABprpaap	7	198			
ABprpap	cc	ABprpapa		ABprpapa	7	198			
ABprpap	cc	ABprpapp		ABprpapp	7	198			
ABprppa	cc	ABprppaa		ABprppaa	7	198			
ABprppa	cc	ABprppap		ABprppap	7	198			
ABprppp	cc	ABprpppa		ABprpppa	7	198			
ABprppp	cc	ABprpppp		ABprpppp	7	198			
Caaa	cc	Caaaa		Caaaa	7	198			
Caaa	cc	Caaap		Caaap	7	198			
Caap	cc	Caapa		Caapa	7	198			
Caap	cc	Caapp		Caapp	7	198			
Capa	cc	Capaa		Capaa	7	198			
Capa	cc	Capap		Capap	7	198			
Capp	cc	Cappa		Cappa	7	198			
Capp	cc	Cappp		Cappp	7	198			
Cpaa	cc	Cpaaa		Cpaaa	7	198			
Cpaa	cc	Cpaap		Cpaap	7	198			
Cpap	cc	Cpapa		Cpapa	7	198			
Cpap	cc	Cpapp		Cpapp	7	198			
Cppa	cc	Cppaa		Cppaa	7	198			
Cppa	cc	Cppap		Cppap	7	198			
Cppp	cc	Cpppa		Cpppa	7	198			
Cppp	cc	Cpppp		Cpppp	7	198			
Daa	cc	Daaa		Daaa	7	198			
Daa	cc	Daap		Daap	7	198			
Dap	cc	Dapa		Dapa	7	198			
Dap	cc	Dapp		Dapp	7	198			
Dpa	cc	Dpaa		Dpaa	7	198			
Dpa	cc	Dpap		Dpap	7	198			
Dpp	cc	Dppa		Dppa	7	198			
Dpp	cc	Dppp		Dppp	7	198			
Eala	cc	Ealaa		Ealaa	7	198			
Eala	cc	Ealap (int3V)	int3V	Ealap	7	198	T		
Ealp	cc	Ealpa (int2V)	int2V	Ealpa	7	198	T		
Ealp	cc	Ealpp (int5L)	int5L	Ealpp	7	198	T		
Eara	cc	Earaa		Earaa	7	198			
Eara	cc	Earap (int3D)	int3D	Earap	7	198	T		
Earp	cc	Earpa (int2D)	int2D	Earpa	7	198	T		
Earp	cc	Earpp (int5R)	int5R	Earpp	7	198	T		
Epla	cc	Eplaa (int4V)	int4V	Eplaa	7	198	T		
Epla	cc	Eplap (int6L)	int6L	Eplap	7	198	T		
Eplp	cc	Eplpa (int7L)	int7L	Eplpa	7	198	T		
Eplp	cc	Eplpp		Eplpp	7	198			
Epra	cc	Epraa (int4D)	int4D	Epraa	7	198	T		
Epra	cc	Eprap (int6R)	int6R	Eprap	7	198	T		
Eprp	cc	Eprpa (int 7R)	int 7R	Eprpa	7	198	T		
Eprp	cc	Eprpp		Eprpp	7	198			
MSaaa	cc	MSaaaa		MSaaaa	7	198			
MSaaa	cc	MSaaap		MSaaap	7	198			
MSaap	cc	MSaapa		MSaapa	7	198			
MSaap	cc	MSaapp		MSaapp	7	198			
MSapa	cc	MSapaa		MSapaa	7	198			
MSapa	cc	MSapap		MSapap	7	198			
MSapp	cc	MSappa		MSappa	7	198			
MSapp	cc	MSappp		MSappp	7	198			
MSpaa	cc	MSpaaa		MSpaaa	7	198			
MSpaa	cc	MSpaap		MSpaap	7	198			
MSpap	cc	MSpapa		MSpapa	7	198			
MSpap	cc	MSpapp		MSpapp	7	198			
MSppa	cc	MSppaa		MSppaa	7	198			
MSppa	cc	MSppap		MSppap	7	198			
MSppp	cc	MSpppa		MSpppa	7	198			
MSppp	cc	MSpppp		MSpppp	7	198			
ABalaaaa	cc	ABalaaaal		ABalaaaal	8	157			
ABalaaaa	cc	ABalaaaar		ABalaaaar	8	157			
ABalaaap	cc	ABalaaapa		ABalaaapa	8	157			
ABalaaap	cc	ABalaaapp		ABalaaapp	8	157			
ABalaapa	cc	ABalaapaa		ABalaapaa	8	157			
ABalaapa	cc	ABalaapap		ABalaapap	8	157			
ABalaapp	cc	ABalaappa		ABalaappa	8	157			
ABalaapp	cc	ABalaappp		ABalaappp	8	157			
ABalapaa	cc	ABalapaaa		ABalapaaa	8	157			
ABalapaa	cc	ABalapaap		ABalapaap	8	157			
ABalapap	cc	ABalapapa		ABalapapa	8	157			
ABalapap	cc	ABalapapp		ABalapapp	8	157			
ABalappa	cc	ABalappaa		ABalappaa	8	157			
ABalappa	cc	ABalappap		ABalappap	8	157			
ABalappp	cc	ABalapppa		ABalapppa	8	157			
ABalappp	cc	ABalapppp		ABalapppp	8	157			
ABalpaaa	cc	ABalpaaaa		ABalpaaaa	8	157			
ABalpaaa	cc	ABalpaaap		ABalpaaap	8	157			
ABalpaap	cc	ABalpaapa		ABalpaapa	8	157			
ABalpaap	cc	ABalpaapp		ABalpaapp	8	157			
ABalpapa	cc	ABalpapaa		ABalpapaa	8	157			
ABalpapa	cc	ABalpapap		ABalpapap	8	157			
ABalpapp	cc	ABalpappa		ABalpappa	8	157			
ABalpapp	cc	ABalpappp		ABalpappp	8	157			
ABalppaa	cc	ABalppaaa		ABalppaaa	8	157			
ABalppaa	cc	ABalppaap		ABalppaap	8	157			
ABalppap	cc	ABalppapa		ABalppapa	8	157			
ABalppap	cc	ABalppapp		ABalppapp	8	157			
ABalpppa	cc	ABalpppaa		ABalpppaa	8	157			
ABalpppa	cc	ABalpppap		ABalpppap	8	157			
ABalpppp	cc	ABalppppa		ABalppppa	8	157			
ABalpppp	cc	ABalppppp		ABalppppp	8	157			
ABaraaaa	cc	ABaraaaaa		ABaraaaaa	8	157			
ABaraaaa	cc	ABaraaaap		ABaraaaap	8	157			
ABaraaap	cc	ABaraaapa		ABaraaapa	8	157			
ABaraaap	cc	ABaraaapp		ABaraaapp	8	157			
ABaraapa	cc	ABaraapaa		ABaraapaa	8	157			
ABaraapa	cc	ABaraapap		ABaraapap	8	157			
ABaraapp	cc	ABaraappa		ABaraappa	8	157			
ABaraapp	cc	ABaraappp		ABaraappp	8	157			
ABarapaa	cc	ABarapaaa		ABarapaaa	8	157			
ABarapaa	cc	ABarapaap		ABarapaap	8	157			
ABarapap	cc	ABarapapa		ABarapapa	8	157			
ABarapap	cc	ABarapapp		ABarapapp	8	157			
ABarappa	cc	ABarappaa		ABarappaa	8	157			
ABarappa	cc	ABarappap		ABarappap	8	157			
ABarappp	cc	ABarapppa		ABarapppa	8	157			
ABarappp	cc	ABarapppp		ABarapppp	8	157			
ABarpaaa	cc	ABarpaaaa		ABarpaaaa	8	157			
ABarpaaa	cc	ABarpaaap		ABarpaaap	8	157			
ABarpaap	cc	ABarpaapa		ABarpaapa	8	157			
ABarpaap	cc	ABarpaapp		ABarpaapp	8	157			
ABarpapa	cc	ABarpapaa		ABarpapaa	8	157			
ABarpapa	cc	ABarpapap		ABarpapap	8	157			
ABarpapp	cc	ABarpappa		ABarpappa	8	157			
ABarpapp	cc	ABarpappp		ABarpappp	8	157			
ABarppaa	cc	ABarppaaa		ABarppaaa	8	157			
ABarppaa	cc	ABarppaap		ABarppaap	8	157			
ABarppap	cc	ABarppapa		ABarppapa	8	157			
ABarppap	cc	ABarppapp		ABarppapp	8	157			
ABarpppa	cc	ABarpppaa		ABarpppaa	8	157			
ABarpppa	cc	ABarpppap		ABarpppap	8	157			
ABarpppp	cc	ABarppppa		ABarppppa	8	157			
ABarpppp	cc	ABarppppp		ABarppppp	8	157			
ABplaaaa	cc	ABplaaaaa		ABplaaaaa	8	157			
ABplaaaa	cc	ABplaaaap		ABplaaaap	8	157			
ABplaaap	cc	ABplaaapa		ABplaaapa	8	157			
ABplaaap	cc	ABplaaapp		ABplaaapp	8	157			
ABplaapa	cc	ABplaapaa		ABplaapaa	8	157			
ABplaapa	cc	ABplaapap		ABplaapap	8	157			
ABplaapp	cc	ABplaappa		ABplaappa	8	157			
ABplaapp	cc	ABplaappp		ABplaappp	8	157			
ABplapaa	cc	ABplapaaa		ABplapaaa	8	157			
ABplapaa	cc	ABplapaap		ABplapaap	8	157			
ABplapap	cc	ABplapapa		ABplapapa	8	157			
ABplapap	cc	ABplapapp		ABplapapp	8	157			
ABplappa	cc	ABplappaa		ABplappaa	8	157			
ABplappa	cc	ABplappap		ABplappap	8	157			
ABplappp	cc	ABplapppa		ABplapppa	8	157			
ABplappp	cc	ABplapppp		ABplapppp	8	157			
ABplpaaa	cc	ABplpaaaa		ABplpaaaa	8	157			
ABplpaaa	cc	ABplpaaap		ABplpaaap	8	157			
ABplpaap	cc	ABplpaapa		ABplpaapa	8	157			
ABplpaap	cc	ABplpaapp		ABplpaapp	8	157			
ABplpapa	cc	ABplpapaa		ABplpapaa	8	157			
ABplpapa	cc	ABplpapap		ABplpapap	8	157			
ABplpapp	cc	ABplpappa		ABplpappa	8	157			
ABplpapp	cc	ABplpappp		ABplpappp	8	157			
ABplppaa	cc	ABplppaaa		ABplppaaa	8	157			
ABplppaa	cc	ABplppaap		ABplppaap	8	157			
ABplppap	cc	ABplppapa		ABplppapa	8	157			
ABplppap	cc	ABplppapp		ABplppapp	8	157			
ABplpppa	cc	ABplpppaa		ABplpppaa	8	157			
ABplpppa	cc	ABplpppap		ABplpppap	8	157			
ABplpppp	cc	ABplppppa		ABplppppa	8	157			
ABplpppp	cc	ABplppppp		ABplppppp	8	157			
ABpraaaa	cc	ABpraaaaa		ABpraaaaa	8	157			
ABpraaaa	cc	ABpraaaap		ABpraaaap	8	157			
